number,value,datetime_start,datetime_complete,duration,params_cycles,params_label_smoothing,params_lr,params_mc_cycles,params_mc_threshold,params_reconstruct_weight,state
64,0.8587698593254085,2026-06-15 23:37:48.511164,2026-06-15 23:37:56.996243,0 days 00:00:08.485079,61,0.25771141882780657,0.005027290327723621,19,0.6149829942422514,0.3240877101722511,COMPLETE
65,0.8086192468619247,2026-06-15 23:37:56.997498,2026-06-15 23:38:07.385872,0 days 00:00:10.388374,72,0.2732012785112329,0.00011802689676676592,23,0.5626479634953155,0.4577758483825206,COMPLETE
66,0.8322945824766528,2026-06-15 23:38:07.387855,2026-06-15 23:38:20.700683,0 days 00:00:13.312828,96,0.2886841025797586,0.001229817777545087,20,0.7405141043284856,0.4347897755687998,COMPLETE
67,0.8541994384044083,2026-06-15 23:38:20.702655,2026-06-15 23:38:32.016546,0 days 00:00:11.313891,81,0.1899249531800515,0.003645509753454524,15,0.5787688594330156,0.3362807046614046,COMPLETE
68,0.8576207730768609,2026-06-15 23:38:32.018617,2026-06-15 23:38:40.274685,0 days 00:00:08.256068,55,0.21644453631750485,0.0027792157519491148,25,0.517873512848153,0.3547314807824242,COMPLETE
69,0.8214783821478382,2026-06-15 23:38:40.276714,2026-06-15 23:38:49.225755,0 days 00:00:08.949041,64,0.26238081697846893,0.005858274038568036,17,0.7804098884360682,0.3963929163393546,COMPLETE
70,0.8586185007021152,2026-06-15 23:38:49.228070,2026-06-15 23:39:00.173650,0 days 00:00:10.945580,75,0.24706789102174967,0.007378032450878353,24,0.547079618712053,0.309186998322842,COMPLETE
71,0.8593896085699365,2026-06-15 23:39:00.175925,2026-06-15 23:39:08.885894,0 days 00:00:08.709969,59,0.23587352363941871,0.009831638098526281,19,0.6000051828738492,0.20670190113542486,COMPLETE
72,0.8684580075757198,2026-06-15 23:39:08.887958,2026-06-15 23:39:16.664606,0 days 00:00:07.776648,53,0.23791444021410946,0.008846754741732415,21,0.574401802511317,0.2898642058410601,COMPLETE
73,0.8699522466726013,2026-06-15 23:39:16.666826,2026-06-15 23:39:24.298710,0 days 00:00:07.631884,53,0.20825121497570162,0.005261885088674307,22,0.5824824106603813,0.29344859895110564,COMPLETE
74,0.8486545956383194,2026-06-15 23:39:24.300346,2026-06-15 23:39:31.808656,0 days 00:00:07.508310,50,0.22825635578069794,0.007682338264718967,22,0.5016797016664211,0.2929888398723171,COMPLETE
